timeStamp, Validity, SampleInclusion, TargetId, CameraPosition.X, CameraPosition.Y, CameraPosition.Z, LocalGazeOrigin.X, LocalGazeOrigin.Y, LocalGazeOrigin.Z, LocalGazeDirection.X, LocalGazeDirection.Y, LocalGazeDirection.Z, WorldGazeOrigin.X, WorldGazeOrigin.Y, WorldGazeOrigin.Z, WorldGazeDirection.X, WorldGazeDirection.Y, WorldGazeDirection.Z, WorldGazeDistance, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, OffsetAngle, InterSampleAngle
0, Invalid, Excluded, 1, -0.460164, 1.110315, -0.430981, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.236791, 1.239308, 0.535179, 0, 0
0, Valid, Excluded, 1, -0.460200, 1.110305, -0.430914, -0.438746, 1.114191, -0.467484, 0.320218, -0.055054, 0.945733, -0.438746, 1.114191, -0.467484, 0.320218, -0.055054, 0.945733, 0, 0.000000, 0.000000, 1.000000, -0.236705, 1.239199, 0.535231, 12.48113, 0
0, Valid, Excluded, 1, -0.460249, 1.110339, -0.430861, -0.438819, 1.114213, -0.467378, 0.322043, -0.050635, 0.945364, -0.438819, 1.114213, -0.467378, 0.322043, -0.050635, 0.945364, 0, 0.000000, 0.000000, 1.000000, -0.236740, 1.239051, 0.535305, 12.33066, 0.2748253
0, Valid, Excluded, 1, -0.460273, 1.110316, -0.430792, -0.438853, 1.114194, -0.467312, 0.323285, -0.052963, 0.944803, -0.438853, 1.114194, -0.467312, 0.323285, -0.052963, 0.944803, 0, 0.000000, 0.000000, 1.000000, -0.236750, 1.238818, 0.535399, 12.47399, 0.1545051
0, Valid, Excluded, 1, -0.460288, 1.110296, -0.430775, -0.438892, 1.114215, -0.467259, 0.323816, -0.056578, 0.944413, -0.438892, 1.114215, -0.467259, 0.323816, -0.056578, 0.944413, 0, 0.000000, 0.000000, 1.000000, -0.236975, 1.238589, 0.535493, 12.65721, 0.2102893
0, Valid, Excluded, 1, -0.460341, 1.110300, -0.430725, -0.438912, 1.114194, -0.467190, 0.323135, -0.056373, 0.944657, -0.438912, 1.114194, -0.467190, 0.323135, -0.056373, 0.944657, 0, 0.000000, 0.000000, 1.000000, -0.237065, 1.238274, 0.535593, 12.61251, 0.03956468
0, Valid, Excluded, 1, -0.460364, 1.110249, -0.430723, -0.449185, 1.112875, -0.464150, 0.324501, -0.058160, 0.944091, -0.449185, 1.112875, -0.464150, 0.324501, -0.058160, 0.944091, 0, 0.000000, 0.000000, 1.000000, -0.237289, 1.238130, 0.535654, 12.46538, 0.132704
0, Valid, Excluded, 1, -0.460389, 1.110207, -0.430690, -0.466827, 1.110645, -0.458933, 0.326980, -0.060078, 0.943110, -0.466827, 1.110645, -0.458933, 0.326980, -0.060078, 0.943110, 0, 0.000000, 0.000000, 1.000000, -0.237639, 1.237831, 0.535796, 12.20121, 0.1876719
0, Valid, Excluded, 1, -0.460427, 1.110159, -0.430696, -0.464135, 1.110940, -0.459726, 0.325891, -0.058952, 0.943550, -0.464135, 1.110940, -0.459726, 0.325891, -0.058952, 0.943550, 0, 0.000000, 0.000000, 1.000000, -0.237890, 1.237700, 0.535850, 12.17712, 0.09278741
0, Valid, Excluded, 1, -0.460490, 1.110116, -0.430726, -0.463948, 1.110933, -0.459751, 0.325911, -0.059808, 0.943496, -0.463948, 1.110933, -0.459751, 0.325911, -0.059808, 0.943496, 0, 0.000000, 0.000000, 1.000000, -0.238186, 1.237612, 0.535879, 12.23066, 0.04845664
0, Valid, Excluded, 1, -0.460547, 1.110120, -0.430708, -0.464825, 1.110780, -0.459510, 0.325397, -0.059843, 0.943673, -0.464825, 1.110780, -0.459510, 0.325397, -0.059843, 0.943673, 0, 0.000000, 0.000000, 1.000000, -0.238412, 1.237298, 0.535978, 12.18979, 0.03426402
0, Valid, Excluded, 1, -0.460668, 1.110088, -0.430710, -0.465200, 1.110699, -0.459449, 0.325437, -0.061181, 0.943572, -0.465200, 1.110699, -0.459449, 0.325437, -0.061181, 0.943572, 0, 0.000000, 0.000000, 1.000000, -0.238757, 1.237229, 0.536032, 12.25775, 0.07661668
0, Valid, Excluded, 1, -0.460737, 1.110088, -0.430696, -0.467500, 1.110425, -0.458776, 0.325741, -0.062512, 0.943376, -0.467500, 1.110425, -0.458776, 0.325741, -0.062512, 0.943376, 0, 0.000000, 0.000000, 1.000000, -0.239150, 1.237213, 0.536123, 12.29119, 0.07912937
0, Valid, Excluded, 1, -0.460773, 1.110055, -0.430699, -0.467582, 1.110399, -0.458789, 0.325754, -0.062819, 0.943349, -0.467582, 1.110399, -0.458789, 0.325754, -0.062819, 0.943349, 0, 0.000000, 0.000000, 1.000000, -0.239354, 1.237221, 0.536153, 12.31219, 0
