timeStamp, Validity, SampleInclusion, TargetId, CameraPosition.X, CameraPosition.Y, CameraPosition.Z, LocalGazeOrigin.X, LocalGazeOrigin.Y, LocalGazeOrigin.Z, LocalGazeDirection.X, LocalGazeDirection.Y, LocalGazeDirection.Z, WorldGazeOrigin.X, WorldGazeOrigin.Y, WorldGazeOrigin.Z, WorldGazeDirection.X, WorldGazeDirection.Y, WorldGazeDirection.Z, WorldGazeDistance, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, OffsetAngle, InterSampleAngle
0, Invalid, Excluded, 1, -0.461412, 1.115305, -0.426360, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.221301, 1.166915, 0.543013, 0, 0
0, Valid, Excluded, 1, -0.461437, 1.115304, -0.426367, -0.470202, 1.118110, -0.454055, 0.300073, -0.044939, 0.952849, -0.470202, 1.118110, -0.454055, 0.300073, -0.044939, 0.952849, 0, 0.000000, 0.000000, 1.000000, -0.221364, 1.166978, 0.543012, 6.331313, 0
0, Valid, Excluded, 1, -0.461437, 1.115300, -0.426342, -0.469701, 1.118151, -0.454202, 0.299715, -0.045395, 0.952942, -0.469701, 1.118151, -0.454202, 0.299715, -0.045395, 0.952942, 0, 0.000000, 0.000000, 1.000000, -0.221221, 1.166995, 0.543000, 6.351904, 0.03426402
0, Invalid, Excluded, 1, -0.461432, 1.115289, -0.426315, -0.469097, 1.118187, -0.454382, 0.000000, 0.000000, 0.000000, -0.469097, 1.118187, -0.454382, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.221248, 1.167179, 0.543025, 0, 0
0, Valid, Excluded, 1, -0.461420, 1.115287, -0.426287, -0.468469, 1.118225, -0.454521, 0.299290, -0.046618, 0.953020, -0.468469, 1.118225, -0.454521, 0.299290, -0.046618, 0.953020, 0, 0.000000, 0.000000, 1.000000, -0.221004, 1.167388, 0.542984, 6.444273, 0
0, Valid, Excluded, 1, -0.461422, 1.115340, -0.426236, -0.469186, 1.118157, -0.454289, 0.299475, -0.046381, 0.952967, -0.469186, 1.118157, -0.454289, 0.299475, -0.046381, 0.952967, 0, 0.000000, 0.000000, 1.000000, -0.221004, 1.167505, 0.543031, 6.425136, 0
0, Valid, Excluded, 1, -0.461411, 1.115361, -0.426212, -0.470283, 1.118070, -0.453943, 0.300283, -0.047040, 0.952682, -0.470283, 1.118070, -0.453943, 0.300283, -0.047040, 0.952682, 0, 0.000000, 0.000000, 1.000000, -0.220878, 1.167589, 0.543023, 6.453394, 0.05934703
0, Invalid, Excluded, 1, -0.461426, 1.115375, -0.426250, -0.470870, 1.118079, -0.453727, 0.000000, 0.000000, 0.000000, -0.470870, 1.118079, -0.453727, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.220719, 1.167621, 0.542940, 0, 0
0, Invalid, Excluded, 1, -0.461418, 1.115369, -0.426236, -0.470947, 1.118091, -0.453677, 0.000000, 0.000000, 0.000000, -0.470947, 1.118091, -0.453677, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.220558, 1.167663, 0.542914, 0, 0
0, Invalid, Excluded, 1, -0.461414, 1.115361, -0.426239, -0.471048, 1.118099, -0.453689, 0.000000, 0.000000, 0.000000, -0.471048, 1.118099, -0.453689, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.220336, 1.167671, 0.542856, 0, 0
0, Valid, Excluded, 1, -0.461419, 1.115337, -0.426229, -0.470806, 1.118108, -0.453739, 0.299598, -0.047904, 0.952858, -0.470806, 1.118108, -0.453739, 0.299598, -0.047904, 0.952858, 0, 0.000000, 0.000000, 1.000000, -0.220192, 1.167735, 0.542824, 6.442294, 0
0, Invalid, Excluded, 1, -0.461400, 1.115324, -0.426209, -0.470445, 1.118123, -0.453837, 0.000000, 0.000000, 0.000000, -0.470445, 1.118123, -0.453837, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.219964, 1.167516, 0.542804, 0, 0
0, Invalid, Excluded, 1, -0.461396, 1.115343, -0.426207, -0.470290, 1.118102, -0.453870, 0.000000, 0.000000, 0.000000, -0.470290, 1.118102, -0.453870, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.219818, 1.167262, 0.542785, 0, 0
